userID,Cuisine
U1114,Hot_Dogs
U1115,Hot_Dogs
U1116,Hot_Dogs
U1117,Hot_Dogs
U1118,Hawaiian
U1119,Hawaiian
U1120,Greek
U1121,German
U1122,Game
U1123,Game
U1124,Game
U1125,Fusion
U1126,Fusion
U1127,French
U1128,Fine_Dining
U1128,Filipino
U1128,Fast_Food
U1128,Fast_Food
U1129,Fast_Food
U1130,Fast_Food
U1131,Fast_Food
U1132,Family
U1133,Family
U1134,Family
U1135,Family
U1135,Family
U1135,Family
U1135,Family
U1135,Family
U1135,Ethiopian
U1135,Eclectic
U1135,Eastern_European
U1135,Eastern_European
U1135,Dutch-Belgian
U1135,Doughnuts
U1135,Doughnuts
U1135,Diner
U1135,Diner
U1135,Diner
U1135,Dim_Sum
U1135,Dessert-Ice_Cream
U1135,Dessert-Ice_Cream
U1135,Deli-Sandwiches
U1135,Deli-Sandwiches
U1135,Deli-Sandwiches
U1135,Cuban
U1135,Cuban
U1135,Continental-European
U1135,Continental-European
U1135,Contemporary
U1135,Contemporary
U1135,Contemporary
U1135,Contemporary
U1135,Contemporary
U1135,Chinese
U1135,Chinese
U1135,Chinese
U1135,Chinese
U1135,Chinese
U1135,Chinese
U1135,Chilean
U1135,Caribbean
U1135,Canadian
U1135,Cambodian
U1135,California
U1135,Cajun-Creole
U1135,Cafeteria
U1135,Cafeteria
U1135,Cafeteria
U1135,Cafeteria
U1135,Cafeteria
U1135,Cafeteria
U1135,Cafeteria
U1135,Cafeteria
U1135,Cafeteria
U1135,Cafe-Coffee_Shop
U1135,Cafe-Coffee_Shop
U1135,Cafe-Coffee_Shop
U1135,Cafe-Coffee_Shop
U1135,Cafe-Coffee_Shop
U1135,Cafe-Coffee_Shop
U1135,Cafe-Coffee_Shop
U1135,Cafe-Coffee_Shop
U1135,Burmese
U1135,Burgers
U1135,Burgers
U1135,Burgers
U1135,Burgers
U1135,Burgers
U1135,Burgers
U1135,British
U1135,Breakfast-Brunch
U1135,Breakfast-Brunch
U1135,Breakfast-Brunch
U1135,Brazilian
U1135,Basque
U1135,Barbecue
U1135,Barbecue
U1135,Barbecue
U1135,Bar_Pub_Brewery
U1135,Bar
U1135,Bar
U1135,Bar
U1135,Bakery
U1135,Bakery
U1135,Bakery
U1135,Bagels
U1135,Bagels
U1135,Austrian
U1135,Australian
U1135,Australian
U1135,Asian
U1135,Asian
U1135,Armenian
U1135,American
U1135,American
U1135,American
U1135,American
U1135,American
U1135,American
U1135,American
U1135,American
U1135,American
U1135,American
U1135,American
U1135,African
U1135,Afghan
U1136,Afghan
U1137,Afghan
U1138,Afghan
